	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Acidaminococcus	Acholeplasma	2.0	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
1	Acholeplasma	Acidaminococcus	2.0	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
2	Actinobacillus	Abiotrophia	1.0	10	29	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
3	Abiotrophia	Actinobacillus	1.0	29	10	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
4	Actinobaculum	Abiotrophia	3.0	25	29	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
5	Abiotrophia	Actinobaculum	3.0	29	25	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
6	Actinomyces	Abiotrophia	2.0	39	29	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
7	Abiotrophia	Actinomyces	2.0	29	39	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
8	Actinomyces	Acidovorax	1.0	39	11	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
9	Acidovorax	Actinomyces	1.0	11	39	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
10	Actinomyces	Actinobacillus	3.0	39	10	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
11	Actinobacillus	Actinomyces	3.0	10	39	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
12	Actinomyces	Actinobaculum	6.0	39	25	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
13	Actinobaculum	Actinomyces	6.0	25	39	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f
14	Adlercreutzia	Acetivibrio	2.0	6	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
15	Acetivibrio	Adlercreutzia	2.0	13	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
16	Afipia	Actinobaculum	1.0	4	25	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc
17	Actinobaculum	Afipia	1.0	25	4	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc
18	Aggregatibacter	Abiotrophia	7.0	31	29	Mixed	Buccal_mucosa	Intertype	#cccccc	#1996f3	#cccccc
19	Abiotrophia	Aggregatibacter	7.0	29	31	Buccal_mucosa	Mixed	Intertype	#1996f3	#cccccc	#cccccc
20	Aggregatibacter	Acidovorax	1.0	31	11	Mixed	Anterior_nares	Intertype	#cccccc	#8000ff	#cccccc
21	Acidovorax	Aggregatibacter	1.0	11	31	Anterior_nares	Mixed	Intertype	#8000ff	#cccccc	#cccccc
22	Aggregatibacter	Actinobacillus	2.0	31	10	Mixed	Buccal_mucosa	Intertype	#cccccc	#1996f3	#cccccc
23	Actinobacillus	Aggregatibacter	2.0	10	31	Buccal_mucosa	Mixed	Intertype	#1996f3	#cccccc	#cccccc
24	Aggregatibacter	Actinobaculum	4.0	31	25	Mixed	Supragingival_plaque	Intertype	#cccccc	#ff964f	#cccccc
25	Actinobaculum	Aggregatibacter	4.0	25	31	Supragingival_plaque	Mixed	Intertype	#ff964f	#cccccc	#cccccc
26	Aggregatibacter	Actinomyces	3.0	31	39	Mixed	Supragingival_plaque	Intertype	#cccccc	#ff964f	#cccccc
27	Actinomyces	Aggregatibacter	3.0	39	31	Supragingival_plaque	Mixed	Intertype	#ff964f	#cccccc	#cccccc
28	Aggregatibacter	Afipia	1.0	31	4	Mixed	Throat	Intertype	#cccccc	#ff5029	#cccccc
29	Afipia	Aggregatibacter	1.0	4	31	Throat	Mixed	Intertype	#ff5029	#cccccc	#cccccc
30	Akkermansia	Acetivibrio	7.0	21	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
31	Acetivibrio	Akkermansia	7.0	13	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
32	Akkermansia	Adlercreutzia	2.0	21	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
33	Adlercreutzia	Akkermansia	2.0	6	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
34	Alistipes	Acetivibrio	1.0	29	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
35	Acetivibrio	Alistipes	1.0	13	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
36	Alistipes	Acholeplasma	2.0	29	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
37	Acholeplasma	Alistipes	2.0	3	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
38	Alistipes	Acidaminococcus	2.0	29	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
39	Acidaminococcus	Alistipes	2.0	2	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
40	Alistipes	Adlercreutzia	1.0	29	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
41	Adlercreutzia	Alistipes	1.0	6	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
42	Alistipes	Akkermansia	2.0	29	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
43	Akkermansia	Alistipes	2.0	21	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
44	Aliterella	Acinetobacter	1.0	1	23	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
45	Acinetobacter	Aliterella	1.0	23	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
46	Alloprevotella	Abiotrophia	2.0	32	29	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc
47	Abiotrophia	Alloprevotella	2.0	29	32	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc
48	Alloprevotella	Actinobacillus	4.0	32	10	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc
49	Actinobacillus	Alloprevotella	4.0	10	32	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc
50	Alloprevotella	Actinomyces	3.0	32	39	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc
51	Actinomyces	Alloprevotella	3.0	39	32	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc
52	Alloprevotella	Aggregatibacter	3.0	32	31	Attached	Mixed	Intertype	#4e4dfc	#cccccc	#cccccc
53	Aggregatibacter	Alloprevotella	3.0	31	32	Mixed	Attached	Intertype	#cccccc	#4e4dfc	#cccccc
54	Alysiella	Alloprevotella	2.0	2	32	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc
55	Alloprevotella	Alysiella	2.0	32	2	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc
56	Anaerococcus	Acidovorax	1.0	12	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
57	Acidovorax	Anaerococcus	1.0	11	12	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
58	Anaerofustis	Adlercreutzia	1.0	1	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
59	Adlercreutzia	Anaerofustis	1.0	6	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
60	Anaeroglobus	Abiotrophia	3.0	9	29	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc
61	Abiotrophia	Anaeroglobus	3.0	29	9	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc
62	Anaeroglobus	Actinobaculum	3.0	9	25	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
63	Actinobaculum	Anaeroglobus	3.0	25	9	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
64	Anaeroglobus	Actinomyces	2.0	9	39	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
65	Actinomyces	Anaeroglobus	2.0	39	9	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
66	Anaeroglobus	Aggregatibacter	5.0	9	31	Saliva	Mixed	Intertype	#7effb5	#cccccc	#cccccc
67	Aggregatibacter	Anaeroglobus	5.0	31	9	Mixed	Saliva	Intertype	#cccccc	#7effb5	#cccccc
