	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Acidaminococcaceae	Acholeplasmataceae	0.714271217078	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
1	Acholeplasmataceae	Acidaminococcaceae	0.714271217078	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
2	Akkermansiaceae	Acholeplasmataceae	0.219422716749	21	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
3	Acholeplasmataceae	Akkermansiaceae	0.219422716749	3	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
4	Akkermansiaceae	Acidaminococcaceae	0.0373805289309	21	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
5	Acidaminococcaceae	Akkermansiaceae	0.0373805289309	7	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
6	Atopobiaceae	Actinomycetaceae	0.0317474679324	24	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
7	Actinomycetaceae	Atopobiaceae	0.0317474679324	44	24	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
8	Bacillaceae	Alcaligenaceae	0.633402885669	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
9	Alcaligenaceae	Bacillaceae	0.633402885669	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
10	Bacillaceae	Aurantimonadaceae	0.419935614808	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
11	Aurantimonadaceae	Bacillaceae	0.419935614808	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
12	Bacteroidaceae	Acholeplasmataceae	0.227827693646	47	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
13	Acholeplasmataceae	Bacteroidaceae	0.227827693646	3	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
14	Bacteroidaceae	Acidaminococcaceae	0.427567110084	47	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
15	Acidaminococcaceae	Bacteroidaceae	0.427567110084	7	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
16	Bacteroidaceae	Akkermansiaceae	0.181733493276	47	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
17	Akkermansiaceae	Bacteroidaceae	0.181733493276	21	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
18	Bifidobacteriaceae	Atopobiaceae	0.946413440377	33	24	Posterior_fornix	Saliva	Intertype	#4df3ce	#7effb5	#cccccc
