	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Alphaproteobacteria	Actinobacteria	3.0	34	61	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
1	Actinobacteria	Alphaproteobacteria	3.0	61	34	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
2	Bacilli	Actinobacteria	6.0	61	61	Mid_vagina	Supragingival_plaque	Intertype	#18cde4	#ff964f	#cccccc
3	Actinobacteria	Bacilli	6.0	61	61	Supragingival_plaque	Mid_vagina	Intertype	#ff964f	#18cde4	#cccccc
4	Bacilli	Alphaproteobacteria	3.0	61	34	Mid_vagina	Anterior_nares	Intertype	#18cde4	#8000ff	#cccccc
5	Alphaproteobacteria	Bacilli	3.0	34	61	Anterior_nares	Mid_vagina	Intertype	#8000ff	#18cde4	#cccccc
6	Bacteroidia	Actinobacteria	8.0	60	61	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
7	Actinobacteria	Bacteroidia	8.0	61	60	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
8	Bacteroidia	Alphaproteobacteria	3.0	60	34	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc
9	Alphaproteobacteria	Bacteroidia	3.0	34	60	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc
10	Bacteroidia	Bacilli	6.0	60	61	Stool	Mid_vagina	Intertype	#b2f396	#18cde4	#cccccc
11	Bacilli	Bacteroidia	6.0	61	60	Mid_vagina	Stool	Intertype	#18cde4	#b2f396	#cccccc
12	Betaproteobacteria	Actinobacteria	7.0	56	61	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc
13	Actinobacteria	Betaproteobacteria	7.0	61	56	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc
14	Betaproteobacteria	Alphaproteobacteria	2.0	56	34	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc
15	Alphaproteobacteria	Betaproteobacteria	2.0	34	56	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc
16	Betaproteobacteria	Bacilli	9.0	56	61	Throat	Mid_vagina	Intertype	#ff5029	#18cde4	#cccccc
17	Bacilli	Betaproteobacteria	9.0	61	56	Mid_vagina	Throat	Intertype	#18cde4	#ff5029	#cccccc
18	Betaproteobacteria	Bacteroidia	8.0	56	60	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc
19	Bacteroidia	Betaproteobacteria	8.0	60	56	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc
20	Chlamydiia	Actinobacteria	2.0	8	61	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc
21	Actinobacteria	Chlamydiia	2.0	61	8	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc
22	Chlamydiia	Bacilli	1.0	8	61	Attached	Mid_vagina	Intertype	#4e4dfc	#18cde4	#cccccc
23	Bacilli	Chlamydiia	1.0	61	8	Mid_vagina	Attached	Intertype	#18cde4	#4e4dfc	#cccccc
24	Chlamydiia	Bacteroidia	2.0	8	60	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc
25	Bacteroidia	Chlamydiia	2.0	60	8	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc
26	Chlamydiia	Betaproteobacteria	2.0	8	56	Attached	Throat	Intertype	#4e4dfc	#ff5029	#cccccc
27	Betaproteobacteria	Chlamydiia	2.0	56	8	Throat	Attached	Intertype	#ff5029	#4e4dfc	#cccccc
28	Clostridia	Actinobacteria	4.0	58	61	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
29	Actinobacteria	Clostridia	4.0	61	58	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
30	Clostridia	Alphaproteobacteria	2.0	58	34	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc
31	Alphaproteobacteria	Clostridia	2.0	34	58	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc
32	Clostridia	Bacilli	7.0	58	61	Stool	Mid_vagina	Intertype	#b2f396	#18cde4	#cccccc
33	Bacilli	Clostridia	7.0	61	58	Mid_vagina	Stool	Intertype	#18cde4	#b2f396	#cccccc
34	Clostridia	Bacteroidia	5.0	58	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
35	Bacteroidia	Clostridia	5.0	60	58	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396
36	Clostridia	Betaproteobacteria	1.0	58	56	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc
37	Betaproteobacteria	Clostridia	1.0	56	58	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc
38	Coriobacteriia	Actinobacteria	6.0	41	61	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
39	Actinobacteria	Coriobacteriia	6.0	61	41	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
40	Coriobacteriia	Alphaproteobacteria	1.0	41	34	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc
41	Alphaproteobacteria	Coriobacteriia	1.0	34	41	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc
42	Coriobacteriia	Bacilli	4.0	41	61	Saliva	Mid_vagina	Intertype	#7effb5	#18cde4	#cccccc
43	Bacilli	Coriobacteriia	4.0	61	41	Mid_vagina	Saliva	Intertype	#18cde4	#7effb5	#cccccc
44	Coriobacteriia	Bacteroidia	2.0	41	60	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc
45	Bacteroidia	Coriobacteriia	2.0	60	41	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc
46	Coriobacteriia	Betaproteobacteria	1.0	41	56	Saliva	Throat	Intertype	#7effb5	#ff5029	#cccccc
47	Betaproteobacteria	Coriobacteriia	1.0	56	41	Throat	Saliva	Intertype	#ff5029	#7effb5	#cccccc
48	Coriobacteriia	Chlamydiia	1.0	41	8	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc
49	Chlamydiia	Coriobacteriia	1.0	8	41	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc
50	Coriobacteriia	Clostridia	6.0	41	58	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc
51	Clostridia	Coriobacteriia	6.0	58	41	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc
52	Cytophagia	Actinobacteria	4.0	9	61	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
53	Actinobacteria	Cytophagia	4.0	61	9	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
54	Cytophagia	Alphaproteobacteria	2.0	9	34	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
55	Alphaproteobacteria	Cytophagia	2.0	34	9	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff
56	Cytophagia	Bacilli	2.0	9	61	Anterior_nares	Mid_vagina	Intertype	#8000ff	#18cde4	#cccccc
