	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Candidatus Saccharibacteria	Actinobacteria	0.127852418024	28	61	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
1	Actinobacteria	Candidatus Saccharibacteria	0.127852418024	61	28	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
2	Candidatus Saccharibacteria	Bacteroidetes	0.0227411114166	28	60	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc
3	Bacteroidetes	Candidatus Saccharibacteria	0.0227411114166	60	28	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc
4	Chlamydiae	Actinobacteria	0.136995361665	8	61	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc
5	Actinobacteria	Chlamydiae	0.136995361665	61	8	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc
6	Cyanobacteria	Actinobacteria	0.183289360321	4	61	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
7	Actinobacteria	Cyanobacteria	0.183289360321	61	4	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
8	Deinococcus-Thermus	Actinobacteria	0.0188281336489	1	61	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
9	Actinobacteria	Deinococcus-Thermus	0.0188281336489	61	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
10	Fusobacteria	Actinobacteria	0.247135632714	33	61	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc
11	Actinobacteria	Fusobacteria	0.247135632714	61	33	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc
12	Fusobacteria	Candidatus Saccharibacteria	0.50823025655	33	28	Tongue_dorsum	Saliva	Intertype	#ff0000	#7effb5	#cccccc
13	Candidatus Saccharibacteria	Fusobacteria	0.50823025655	28	33	Saliva	Tongue_dorsum	Intertype	#7effb5	#ff0000	#cccccc
14	Fusobacteria	Deinococcus-Thermus	0.0763573917492	33	1	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
15	Deinococcus-Thermus	Fusobacteria	0.0763573917492	1	33	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
16	Proteobacteria	Actinobacteria	0.124936515635	60	61	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
