TAXA	Acholeplasmatales	Acidaminococcales	Actinomycetales	Alteromonadales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Campylobacterales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chlamydiales	Chromatiales	Chroococcales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Desulfovibrionales	Eggerthellales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Geodermatophilales	Hydrogenophilales	Lactobacillales	Micrococcales	Mycoplasmatales	Neisseriales	Nostocales	Oceanospirillales	Pasteurellales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Rhizobiales	Rhodobacterales	Rhodocyclales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synergistales	Thiotrichales	Tissierellales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
Acholeplasmatales	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcales	2.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
Actinomycetales	0.0	0.0	0.0	1.0	4.0	7.0	0.0	2.0	9.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	1.0	6.0	0.0	0.0	3.0	0.0	4.0	6.0	8.0	0.0	0.0	7.0	7.0	3.0	4.0	0.0	0.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Alteromonadales	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Bacillales	0.0	0.0	4.0	0.0	0.0	4.0	0.0	5.0	5.0	2.0	0.0	0.0	3.0	0.0	0.0	5.0	3.0	4.0	0.0	0.0	3.0	2.0	4.0	2.0	5.0	0.0	0.0	6.0	6.0	4.0	3.0	0.0	0.0	4.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Bacteroidales	2.0	4.0	7.0	0.0	4.0	0.0	0.0	4.0	10.0	2.0	0.0	0.0	2.0	0.0	0.0	5.0	2.0	4.0	3.0	3.0	7.0	2.0	5.0	4.0	7.0	0.0	0.0	9.0	7.0	4.0	6.0	0.0	0.0	6.0	0.0	5.0	1.0	0.0	1.0	1.0	1.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	7.0	2.0	0.0	0.0
Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderiales	0.0	1.0	2.0	0.0	5.0	4.0	0.0	0.0	4.0	6.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	2.0	3.0	0.0	0.0	3.0	3.0	2.0	4.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0
Campylobacterales	0.0	0.0	9.0	1.0	5.0	10.0	0.0	4.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	6.0	2.0	0.0	2.0	1.0	2.0	7.0	11.0	0.0	0.0	7.0	6.0	3.0	4.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	1.0	1.0	4.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0
Cardiobacteriales	0.0	0.0	2.0	0.0	2.0	2.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	1.0	2.0	1.0	4.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
