source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcaceae	0	Acidaminococcaceae	Acholeplasmataceae	0.714271217078	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	4.0	0.0	#2adddd	#8000ff
Acholeplasmataceae	1	Acholeplasmataceae	Acidaminococcaceae	0.714271217078	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	4.0	0.0	#2adddd	#8000ff
Akkermansiaceae	2	Akkermansiaceae	Acholeplasmataceae	0.219422716749	21	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Acholeplasmataceae	3	Acholeplasmataceae	Akkermansiaceae	0.219422716749	3	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	4.0	0.0	#2adddd	#8000ff
Akkermansiaceae	4	Akkermansiaceae	Acidaminococcaceae	0.037380528930900006	21	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Acidaminococcaceae	5	Acidaminococcaceae	Akkermansiaceae	0.037380528930900006	7	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	4.0	0.0	#2adddd	#8000ff
Atopobiaceae	6	Atopobiaceae	Actinomycetaceae	0.0317474679324	24	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	2.0	1.0	#2c7ef7	#01b3ec
Actinomycetaceae	7	Actinomycetaceae	Atopobiaceae	0.0317474679324	44	24	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	5.0	1.0	#54f6cb	#01b3ec
Bacillaceae	8	Bacillaceae	Alcaligenaceae	0.633402885669	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	12.0	0.0	#ff0000	#8000ff
Alcaligenaceae	9	Alcaligenaceae	Bacillaceae	0.633402885669	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	7.0	3.0	#a8f79c	#feb562
Bacillaceae	10	Bacillaceae	Aurantimonadaceae	0.419935614808	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	12.0	0.0	#ff0000	#8000ff
Aurantimonadaceae	11	Aurantimonadaceae	Bacillaceae	0.419935614808	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	11.0	4.0	#ff4422	#ff0000
Bacteroidaceae	12	Bacteroidaceae	Acholeplasmataceae	0.227827693646	47	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8.0	0.0	#d4dd80	#8000ff
Acholeplasmataceae	13	Acholeplasmataceae	Bacteroidaceae	0.227827693646	3	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	4.0	0.0	#2adddd	#8000ff
Bacteroidaceae	14	Bacteroidaceae	Acidaminococcaceae	0.427567110084	47	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8.0	0.0	#d4dd80	#8000ff
Acidaminococcaceae	15	Acidaminococcaceae	Bacteroidaceae	0.427567110084	7	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	4.0	0.0	#2adddd	#8000ff
Bacteroidaceae	16	Bacteroidaceae	Akkermansiaceae	0.181733493276	47	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8.0	0.0	#d4dd80	#8000ff
Akkermansiaceae	17	Akkermansiaceae	Bacteroidaceae	0.181733493276	21	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Bifidobacteriaceae	18	Bifidobacteriaceae	Atopobiaceae	0.9464134403769999	33	24	Posterior_fornix	Saliva	Intertype	#4df3ce	#7effb5	#cccccc	2.0	1.0	#2c7ef7	#01b3ec
Atopobiaceae	19	Atopobiaceae	Bifidobacteriaceae	0.9464134403769999	24	33	Saliva	Posterior_fornix	Intertype	#7effb5	#4df3ce	#cccccc	2.0	1.0	#2c7ef7	#01b3ec
Bradyrhizobiaceae	20	Bradyrhizobiaceae	Actinomycetaceae	0.04081917484519999	5	44	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	7.0	3.0	#a8f79c	#feb562
Actinomycetaceae	21	Actinomycetaceae	Bradyrhizobiaceae	0.04081917484519999	44	5	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	5.0	1.0	#54f6cb	#01b3ec
Bradyrhizobiaceae	22	Bradyrhizobiaceae	Alcaligenaceae	0.801628352869	5	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	7.0	3.0	#a8f79c	#feb562
Alcaligenaceae	23	Alcaligenaceae	Bradyrhizobiaceae	0.801628352869	1	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	7.0	3.0	#a8f79c	#feb562
Bradyrhizobiaceae	24	Bradyrhizobiaceae	Aurantimonadaceae	0.0580786194833	5	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	7.0	3.0	#a8f79c	#feb562
Aurantimonadaceae	25	Aurantimonadaceae	Bradyrhizobiaceae	0.0580786194833	1	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	11.0	4.0	#ff4422	#ff0000
Bradyrhizobiaceae	26	Bradyrhizobiaceae	Bacillaceae	0.5351733716120001	5	22	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	7.0	3.0	#a8f79c	#feb562
Bacillaceae	27	Bacillaceae	Bradyrhizobiaceae	0.5351733716120001	22	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	12.0	0.0	#ff0000	#8000ff
Brevibacteriaceae	28	Brevibacteriaceae	Aerococcaceae	0.920079614682	1	33	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	9.0	2.0	#feb562	#7effb5
Aerococcaceae	29	Aerococcaceae	Brevibacteriaceae	0.920079614682	33	1	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	9.0	2.0	#feb562	#7effb5
Burkholderiaceae	30	Burkholderiaceae	Actinomycetaceae	0.269503510635	37	44	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	10.0	1.0	#ff8143	#01b3ec
Actinomycetaceae	31	Actinomycetaceae	Burkholderiaceae	0.269503510635	44	37	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5.0	1.0	#54f6cb	#01b3ec
Burkholderiaceae	32	Burkholderiaceae	Aerococcaceae	0.09779083022780001	37	33	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	10.0	1.0	#ff8143	#01b3ec
Aerococcaceae	33	Aerococcaceae	Burkholderiaceae	0.09779083022780001	33	37	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	9.0	2.0	#feb562	#7effb5
Campylobacteraceae	34	Campylobacteraceae	Actinomycetaceae	0.667912990799	37	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	5.0	1.0	#54f6cb	#01b3ec
Actinomycetaceae	35	Actinomycetaceae	Campylobacteraceae	0.667912990799	44	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	5.0	1.0	#54f6cb	#01b3ec
Campylobacteraceae	36	Campylobacteraceae	Atopobiaceae	0.101265170561	37	24	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	5.0	1.0	#54f6cb	#01b3ec
Atopobiaceae	37	Atopobiaceae	Campylobacteraceae	0.101265170561	24	37	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	2.0	1.0	#2c7ef7	#01b3ec
Campylobacteraceae	38	Campylobacteraceae	Burkholderiaceae	0.28149124853	37	37	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	5.0	1.0	#54f6cb	#01b3ec
Burkholderiaceae	39	Burkholderiaceae	Campylobacteraceae	0.28149124853	37	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	10.0	1.0	#ff8143	#01b3ec
Cardiobacteriaceae	40	Cardiobacteriaceae	Actinomycetaceae	0.550336270795	20	44	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	3.0	1.0	#01b3ec	#01b3ec
Actinomycetaceae	41	Actinomycetaceae	Cardiobacteriaceae	0.550336270795	44	20	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	5.0	1.0	#54f6cb	#01b3ec
Cardiobacteriaceae	42	Cardiobacteriaceae	Burkholderiaceae	0.335350229855	20	37	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	3.0	1.0	#01b3ec	#01b3ec
Burkholderiaceae	43	Burkholderiaceae	Cardiobacteriaceae	0.335350229855	37	20	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	10.0	1.0	#ff8143	#01b3ec
Cardiobacteriaceae	44	Cardiobacteriaceae	Campylobacteraceae	0.5203049451990001	20	37	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	3.0	1.0	#01b3ec	#01b3ec
Campylobacteraceae	45	Campylobacteraceae	Cardiobacteriaceae	0.5203049451990001	37	20	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	5.0	1.0	#54f6cb	#01b3ec
Catabacteriaceae	46	Catabacteriaceae	Acidaminococcaceae	0.1300340368	1	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	4.0	0.0	#2adddd	#8000ff
Acidaminococcaceae	47	Acidaminococcaceae	Catabacteriaceae	0.1300340368	7	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	4.0	0.0	#2adddd	#8000ff
Caulobacteraceae	48	Caulobacteraceae	Bradyrhizobiaceae	0.17639447676800002	2	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	0.0	3.0	#8000ff	#feb562
Bradyrhizobiaceae	49	Bradyrhizobiaceae	Caulobacteraceae	0.17639447676800002	5	2	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	7.0	3.0	#a8f79c	#feb562
Caulobacteraceae	50	Caulobacteraceae	Carnobacteriaceae	0.452027561932	2	36	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	0.0	3.0	#8000ff	#feb562
Carnobacteriaceae	51	Carnobacteriaceae	Caulobacteraceae	0.452027561932	36	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	0.0	3.0	#8000ff	#feb562
Cellulomonadaceae	52	Cellulomonadaceae	Acholeplasmataceae	0.110377424902	6	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Acholeplasmataceae	53	Acholeplasmataceae	Cellulomonadaceae	0.110377424902	3	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	4.0	0.0	#2adddd	#8000ff
Cellulomonadaceae	54	Cellulomonadaceae	Akkermansiaceae	0.9621317425579999	6	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Akkermansiaceae	55	Akkermansiaceae	Cellulomonadaceae	0.9621317425579999	21	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Cellulomonadaceae	56	Cellulomonadaceae	Bacteroidaceae	0.0587669970464	6	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Bacteroidaceae	57	Bacteroidaceae	Cellulomonadaceae	0.0587669970464	47	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8.0	0.0	#d4dd80	#8000ff
Cellvibrionaceae	58	Cellvibrionaceae	Aerococcaceae	0.0749419890228	1	33	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	10.0	1.0	#ff8143	#01b3ec
Aerococcaceae	59	Aerococcaceae	Cellvibrionaceae	0.0749419890228	33	1	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	9.0	2.0	#feb562	#7effb5
Cellvibrionaceae	60	Cellvibrionaceae	Burkholderiaceae	0.705592179129	1	37	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	10.0	1.0	#ff8143	#01b3ec
Burkholderiaceae	61	Burkholderiaceae	Cellvibrionaceae	0.705592179129	37	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	10.0	1.0	#ff8143	#01b3ec
Chlamydiaceae	62	Chlamydiaceae	Acholeplasmataceae	0.0190656010565	8	3	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	2.0	1.0	#2c7ef7	#01b3ec
Acholeplasmataceae	63	Acholeplasmataceae	Chlamydiaceae	0.0190656010565	3	8	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	4.0	0.0	#2adddd	#8000ff
Chlamydiaceae	64	Chlamydiaceae	Atopobiaceae	0.663975285373	8	24	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	2.0	1.0	#2c7ef7	#01b3ec
Atopobiaceae	65	Atopobiaceae	Chlamydiaceae	0.663975285373	24	8	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	2.0	1.0	#2c7ef7	#01b3ec
Chlamydiaceae	66	Chlamydiaceae	Bifidobacteriaceae	0.7044882767649999	8	33	Attached	Posterior_fornix	Intertype	#4e4dfc	#4df3ce	#cccccc	2.0	1.0	#2c7ef7	#01b3ec
Bifidobacteriaceae	67	Bifidobacteriaceae	Chlamydiaceae	0.7044882767649999	33	8	Posterior_fornix	Attached	Intertype	#4df3ce	#4e4dfc	#cccccc	2.0	1.0	#2c7ef7	#01b3ec
Chromatiaceae	68	Chromatiaceae	Alcaligenaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	7.0	3.0	#a8f79c	#feb562
Alcaligenaceae	69	Alcaligenaceae	Chromatiaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	7.0	3.0	#a8f79c	#feb562
Chromatiaceae	70	Chromatiaceae	Bacillaceae	0.633402885669	1	22	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	7.0	3.0	#a8f79c	#feb562
Bacillaceae	71	Bacillaceae	Chromatiaceae	0.633402885669	22	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	12.0	0.0	#ff0000	#8000ff
Chromatiaceae	72	Chromatiaceae	Bradyrhizobiaceae	0.801628352869	1	5	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	7.0	3.0	#a8f79c	#feb562
Bradyrhizobiaceae	73	Bradyrhizobiaceae	Chromatiaceae	0.801628352869	5	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	7.0	3.0	#a8f79c	#feb562
Chromobacteriaceae	74	Chromobacteriaceae	Aurantimonadaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	11.0	4.0	#ff4422	#ff0000
