	source	Unnamed: 0	source.1	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color	tst_samp_bins_ivp	tst_samp_bins_bdvp	tst_samp_bins_forced	tst_samp_bins_ivp_col	tst_samp_bins_bdvp_col	tst_samp_bins_forced_col
0	Acidaminococcus	0	Acidaminococcus	Acholeplasma	2.0	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3	55.0	9.0	22.0	#f7ac8e	#3b4cc0	#3b4cc0
1	Acholeplasma	1	Acholeplasma	Acidaminococcus	2.0	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	14.0	2.0	#ff0000	#1996f3	21.0	9.0	22.0	#dc5d4a	#3b4cc0	#3b4cc0
2	Aggregatibacter	2	Aggregatibacter	Abiotrophia	7.0	4	29	Mixed	Buccal_mucosa	Intertype	#cccccc	#1996f3	#cccccc	61	7.0	0.0	#7effb5	#8000ff	24.0	9.0	22.0	#e0654f	#3b4cc0	#3b4cc0
3	Abiotrophia	3	Abiotrophia	Aggregatibacter	7.0	29	31	Buccal_mucosa	Mixed	Intertype	#1996f3	#cccccc	#cccccc	61	7.0	0.0	#7effb5	#8000ff	153.0	9.0	22.0	#7597f6	#3b4cc0	#3b4cc0
4	Akkermansia	4	Akkermansia	Acetivibrio	7.0	31	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	117.0	9.0	22.0	#b6cefa	#3b4cc0	#3b4cc0
5	Acetivibrio	5	Acetivibrio	Akkermansia	7.0	13	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	0.0	1.0	#8000ff	#4e4dfc	163.0	9.0	22.0	#6282ea	#3b4cc0	#3b4cc0
6	Alloprevotella	6	Alloprevotella	Actinobacillus	4.0	1	23	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	61	13.0	7.0	#ff3b1e	#e4cf74	69.0	9.0	22.0	#f5c4ac	#3b4cc0	#3b4cc0
7	Actinobacillus	7	Actinobacillus	Alloprevotella	4.0	10	32	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	61	13.0	0.0	#ff3b1e	#8000ff	25.0	9.0	22.0	#e26952	#3b4cc0	#3b4cc0
8	Anaeroglobus	8	Anaeroglobus	Abiotrophia	3.0	1	29	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc	61	7.0	0.0	#7effb5	#8000ff	94.0	9.0	22.0	#dbdcde	#3b4cc0	#3b4cc0
9	Abiotrophia	9	Abiotrophia	Anaeroglobus	3.0	29	9	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc	61	7.0	0.0	#7effb5	#8000ff	153.0	9.0	22.0	#7597f6	#3b4cc0	#3b4cc0
