source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcales	0	Acidaminococcales	Acholeplasmatales	0.714271217078	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Acholeplasmatales	1	Acholeplasmatales	Acidaminococcales	0.714271217078	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Alteromonadales	2	Alteromonadales	Actinomycetales	0.34235550013099997	8	44	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	4.0	2.0	#ff0000	#4df3ce
Actinomycetales	3	Actinomycetales	Alteromonadales	0.34235550013099997	44	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	2.0	1.0	#7effb5	#1996f3
Bacillales	4	Bacillales	Alteromonadales	0.14851963781400002	53	8	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc	4.0	2.0	#ff0000	#4df3ce
Alteromonadales	5	Alteromonadales	Bacillales	0.14851963781400002	8	53	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc	4.0	2.0	#ff0000	#4df3ce
Bacteroidales	6	Bacteroidales	Acholeplasmatales	0.36195353766099997	60	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Acholeplasmatales	7	Acholeplasmatales	Bacteroidales	0.36195353766099997	3	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Bacteroidales	8	Bacteroidales	Acidaminococcales	0.439420485717	60	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Acidaminococcales	9	Acidaminococcales	Bacteroidales	0.439420485717	7	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	0.0	#8000ff	#8000ff
Burkholderiales	10	Burkholderiales	Actinomycetales	0.194140515768	54	44	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2.0	1.0	#7effb5	#1996f3
Actinomycetales	11	Actinomycetales	Burkholderiales	0.194140515768	44	54	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2.0	1.0	#7effb5	#1996f3
Campylobacterales	12	Campylobacterales	Actinomycetales	0.669952653221	37	44	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	2.0	1.0	#7effb5	#1996f3
Actinomycetales	13	Actinomycetales	Campylobacterales	0.669952653221	44	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	2.0	1.0	#7effb5	#1996f3
Campylobacterales	14	Campylobacterales	Alteromonadales	0.137945932613	37	8	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	2.0	1.0	#7effb5	#1996f3
Alteromonadales	15	Alteromonadales	Campylobacterales	0.137945932613	8	37	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	4.0	2.0	#ff0000	#4df3ce
Campylobacterales	16	Campylobacterales	Bacillales	0.041163765670400004	37	53	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	2.0	1.0	#7effb5	#1996f3
Bacillales	17	Bacillales	Campylobacterales	0.041163765670400004	53	37	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	4.0	2.0	#ff0000	#4df3ce
Campylobacterales	18	Campylobacterales	Burkholderiales	0.200785300725	37	54	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	2.0	1.0	#7effb5	#1996f3
Burkholderiales	19	Burkholderiales	Campylobacterales	0.200785300725	54	37	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	2.0	1.0	#7effb5	#1996f3
Cardiobacteriales	20	Cardiobacteriales	Actinomycetales	0.5560566980039999	20	44	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	2.0	1.0	#7effb5	#1996f3
Actinomycetales	21	Actinomycetales	Cardiobacteriales	0.5560566980039999	44	20	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	2.0	1.0	#7effb5	#1996f3
Cardiobacteriales	22	Cardiobacteriales	Alteromonadales	0.118911954204	20	8	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	2.0	1.0	#7effb5	#1996f3
Alteromonadales	23	Alteromonadales	Cardiobacteriales	0.118911954204	8	20	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	4.0	2.0	#ff0000	#4df3ce
Cardiobacteriales	24	Cardiobacteriales	Burkholderiales	0.29649892507500003	20	54	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	2.0	1.0	#7effb5	#1996f3
