	source	target	weight	source_freq	target_freq	source_type	target_type	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Clostridium] innocuum	[Clostridium] aminophilum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	18.0	1.0	#64fbc3	#7610ff
1	[Clostridium] aminophilum	[Clostridium] innocuum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	18.0	1.0	#64fbc3	#7610ff
2	[Clostridium] spiroforme	[Bacteroides] pectinophilus	0.847879598113	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	18.0	1.0	#64fbc3	#7610ff
3	[Bacteroides] pectinophilus	[Clostridium] spiroforme	0.847879598113	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	18.0	1.0	#64fbc3	#7610ff
4	[Clostridium] spiroforme	[Clostridium] aminophilum	0.8897844378730001	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	18.0	1.0	#64fbc3	#7610ff
5	[Clostridium] aminophilum	[Clostridium] spiroforme	0.8897844378730001	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	18.0	1.0	#64fbc3	#7610ff
6	[Clostridium] spiroforme	[Clostridium] innocuum	0.8897844378730001	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	18.0	1.0	#64fbc3	#7610ff
7	[Clostridium] innocuum	[Clostridium] spiroforme	0.8897844378730001	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	18.0	1.0	#64fbc3	#7610ff
8	[Eubacterium] cellulosolvens	[Clostridium] citroniae	0.9958814164899998	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	10.0	1.0	#01b3ec	#7610ff
9	[Clostridium] citroniae	[Eubacterium] cellulosolvens	0.9958814164899998	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	10.0	1.0	#01b3ec	#7610ff
10	[Eubacterium] hallii	[Clostridium] citroniae	0.8499105371500001	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	10.0	1.0	#01b3ec	#7610ff
11	[Clostridium] citroniae	[Eubacterium] hallii	0.8499105371500001	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	10.0	1.0	#01b3ec	#7610ff
12	[Eubacterium] hallii	[Clostridium] symbiosum	0.8089671009630001	5	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	10.0	1.0	#01b3ec	#7610ff
