TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinobaculum	Actinomyces	Afipia	Aggregatibacter	Alistipes	Alloprevotella	Anaeroglobus	Atopobium	Bacillus	Bacteroides	Bradyrhizobium	Brochothrix	Bulleidia	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Citrobacter	Clostridium	Conchiformibius	Corynebacterium	Dialister	Dolosigranulum	Eggerthia	Eikenella	Eubacterium	Faecalibacterium	Filifactor	Flavobacterium	Fusobacterium	Gemella	Granulicatella	Haemophilus	Isoptericola	Janibacter	Johnsonella	Kingella	Kytococcus	Lachnoanaerobaculum	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Megasphaera	Mogibacterium	Morococcus	Mycobacterium	Mycoplasma	Neisseria	Novosphingobium	Odoribacter	Olsenella	Oribacterium	Ottowia	Parabacteroides	Paraprevotella	Parvimonas	Pasteurella	Peptoniphilus	Peptostreptococcus	Porphyromonas	Prevotella	Propionibacterium	Pseudomonas	Psychrobacter	Rothia	Sanguibacter	Selenomonas	Simonsiella	Slackia	Solobacterium	Sphingobium	Staphylococcus	Stomatobaculum	Streptococcus	Tannerella	Treponema	Trueperella	Veillonella	Xylanimonas
Abiotrophia	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Acidovorax	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Acinetobacter	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Actinobaculum	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Actinomyces	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	2.0	1.0
Afipia	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Aggregatibacter	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	2.0	1.0
Alistipes	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Anaeroglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Atopobium	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	1.0	2.0	1.0
Bacillus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
