source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Cardiobacterium	0	Cardiobacterium	Bacteroides	2.0	2	3	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	5	2.0	3.0	#1996f3	#0ac0e8
Bacteroides	1	Bacteroides	Cardiobacterium	2.0	3	2	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	5	2.0	3.0	#1996f3	#0ac0e8
Centipeda	2	Centipeda	Bifidobacterium	2.0	3	2	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	5	6.0	4.0	#b2f396	#38e7d7
Bifidobacterium	3	Bifidobacterium	Centipeda	2.0	2	3	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	5	6.0	4.0	#b2f396	#38e7d7
Gardnerella	4	Gardnerella	Faecalibacterium	2.0	2	2	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	5	9.0	7.0	#ff5029	#c4e88a
Faecalibacterium	5	Faecalibacterium	Gardnerella	2.0	2	2	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	5	9.0	7.0	#ff5029	#c4e88a
Kytococcus	6	Kytococcus	Atopobium	5.0	5	5	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	5	4.0	2.0	#4df3ce	#2489f5
Atopobium	7	Atopobium	Kytococcus	5.0	5	5	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	5	4.0	2.0	#4df3ce	#2489f5
Megasphaera	8	Megasphaera	Clostridium	2.0	5	2	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	5	3.0	6.0	#18cde4	#96fca7
Clostridium	9	Clostridium	Megasphaera	2.0	2	5	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	5	3.0	6.0	#18cde4	#96fca7
Pasteurella	10	Pasteurella	Actinobacillus	2.0	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5	0.0	1.0	#8000ff	#5247fc
