TAXA	Actinomyces naeslundii	Actinomyces oris	Actinomyces sp. ICM47	Actinomyces sp. oral taxon 170	Actinomyces sp. oral taxon 171	Alloprevotella tannerae	Candidatus Saccharibacteria oral taxon TM7x	Capnocytophaga sp. oral taxon 329	Capnocytophaga sp. oral taxon 332	Capnocytophaga sputigena	Chlamydia trachomatis	Corynebacterium durum	Corynebacterium matruchotii	Gemella haemolysans	Gemella sanguinis	Granulicatella elegans	Haemophilus haemolyticus	Haemophilus influenzae	Haemophilus parainfluenzae	Haemophilus sp. oral taxon 851	Haemophilus sputorum	Leptotrichia shahii	Neisseria cinerea	Neisseria meningitidis	Porphyromonas catoniae	Porphyromonas gingivalis	Porphyromonas sp. oral taxon 278	Prevotella sp. oral taxon 473	Rothia mucilaginosa	Staphylococcus pasteuri	Streptococcus dentisani	Streptococcus gordonii	Streptococcus mitis	Streptococcus oligofermentans	Streptococcus parasanguinis	Streptococcus pneumoniae	Streptococcus pseudopneumoniae	Streptococcus sp. F0442	Veillonella seminalis	Veillonella sp. oral taxon 780
Actinomyces naeslundii	0.0	1.0	1.0	1.0	0.9999999999999999	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Actinomyces oris	1.0	0.0	1.0	1.0	0.9999999999999999	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Actinomyces sp. ICM47	1.0	1.0	0.0	1.0	0.9999999999999999	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Actinomyces sp. oral taxon 170	1.0	1.0	1.0	0.0	0.9999999999999999	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Actinomyces sp. oral taxon 171	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999998	0.9999999999999999	0.0	0.9999999999999999	0.9999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999998	0.0	0.9999999999999998	0.9999999999999999	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999998	0.0	0.0	0.0	0.0
Alloprevotella tannerae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Candidatus Saccharibacteria oral taxon TM7x	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Capnocytophaga sp. oral taxon 329	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	0.9999999999999999	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Capnocytophaga sp. oral taxon 332	1.0	1.0	1.0	1.0	0.9999999999999998	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Capnocytophaga sputigena	1.0	1.0	1.0	1.0	0.9999999999999999	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Chlamydia trachomatis	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Corynebacterium durum	1.0	1.0	1.0	1.0	0.9999999999999999	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Corynebacterium matruchotii	1.0	1.0	1.0	1.0	0.9999999999999998	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9999999999999999	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Gemella haemolysans	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Gemella sanguinis	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Granulicatella elegans	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	0.9999999999999999	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Haemophilus haemolyticus	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Haemophilus influenzae	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.9999999999999999	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999998	0.9999999999999998	1.0	0.9999999999999998	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Haemophilus parainfluenzae	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.9999999999999999	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999998	0.9999999999999999	1.0	0.9999999999999999	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Haemophilus sp. oral taxon 851	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Haemophilus sputorum	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Leptotrichia shahii	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Neisseria cinerea	1.0	1.0	1.0	1.0	0.9999999999999999	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Neisseria meningitidis	1.0	1.0	1.0	1.0	0.9999999999999998	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.9999999999999998	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	0.0	0.0	0.0	0.0
Porphyromonas catoniae	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Porphyromonas gingivalis	1.0	1.0	1.0	1.0	0.9999999999999998	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9999999999999999	0.0	0.0	0.0	0.0
Porphyromonas sp. oral taxon 278	1.0	1.0	1.0	1.0	0.9999999999999999	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Prevotella sp. oral taxon 473	1.0	1.0	1.0	1.0	0.9999999999999999	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Rothia mucilaginosa	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999998	0.9999999999999998	0.9999999999999999	1.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999998	0.9999999999999999	0.9999999999999998	0.9999999999999999	0.9999999999999999	0.0	0.0	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999
Staphylococcus pasteuri	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.9999999999999998	0.9999999999999999	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999998	0.0	1.0	0.9999999999999999	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Streptococcus dentisani	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Streptococcus gordonii	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.9999999999999999	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.9999999999999999	1.0	0.9999999999999998	0.9999999999999999	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999998	0.9999999999999999	1.0	0.0	0.9999999999999999	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Streptococcus mitis	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	0.9999999999999999	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Streptococcus oligofermentans	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Streptococcus parasanguinis	1.0	1.0	1.0	1.0	0.9999999999999999	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Streptococcus pneumoniae	1.0	1.0	1.0	1.0	0.9999999999999998	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9999999999999998	0.0	0.9999999999999999	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Streptococcus pseudopneumoniae	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
