	source	target	weight	source_freq	target_freq	source_type	target_type	edge_sample	fscolor	sscolor	edcolor	num_samps
0	[Clostridium] innocuum	[Clostridium] aminophilum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
1	[Clostridium] aminophilum	[Clostridium] innocuum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
2	[Clostridium] spiroforme	[Bacteroides] pectinophilus	0.847879598113	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
3	[Bacteroides] pectinophilus	[Clostridium] spiroforme	0.847879598113	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
4	[Clostridium] spiroforme	[Clostridium] aminophilum	0.889784437873	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
5	[Clostridium] aminophilum	[Clostridium] spiroforme	0.889784437873	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
6	[Clostridium] spiroforme	[Clostridium] innocuum	0.889784437873	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
7	[Clostridium] innocuum	[Clostridium] spiroforme	0.889784437873	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
8	[Eubacterium] cellulosolvens	[Clostridium] citroniae	0.99588141649	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
9	[Clostridium] citroniae	[Eubacterium] cellulosolvens	0.99588141649	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
10	[Eubacterium] hallii	[Clostridium] citroniae	0.84991053715	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
11	[Clostridium] citroniae	[Eubacterium] hallii	0.84991053715	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
12	[Eubacterium] hallii	[Clostridium] symbiosum	0.808967100963	5	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
13	[Clostridium] symbiosum	[Eubacterium] hallii	0.808967100963	9	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
14	[Eubacterium] hallii	[Eubacterium] cellulosolvens	0.847483325047	5	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
15	[Eubacterium] cellulosolvens	[Eubacterium] hallii	0.847483325047	10	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	58
16	[Haemophilus] ducreyi	[Actinobacillus] muris	1.0	14	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	58
17	[Actinobacillus] muris	[Haemophilus] ducreyi	1.0	2	14	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	58
18	[Haemophilus] parasuis	[Actinobacillus] muris	0.904649786433	8	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	58
19	[Actinobacillus] muris	[Haemophilus] parasuis	0.904649786433	2	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	58
20	[Haemophilus] parasuis	[Haemophilus] ducreyi	0.904649786433	8	14	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	58
21	[Haemophilus] ducreyi	[Haemophilus] parasuis	0.904649786433	14	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	58
22	[Mannheimia] succiniciproducens	[Actinobacillus] muris	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	58
23	[Actinobacillus] muris	[Mannheimia] succiniciproducens	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	58
24	[Mannheimia] succiniciproducens	[Haemophilus] ducreyi	1.0	2	14	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	58
