	source	target	weight	source_freq	target_freq	source_type	target_type	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Acidaminococcus	Acholeplasma	0.809039834956	3	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	20.0	1.0	#ff4a26	#6c1fff
1	Acholeplasma	Acidaminococcus	0.809039834956	13	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	20.0	1.0	#ff4a26	#6c1fff
2	Aliterella	Acinetobacter	0.996269364243	20	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
3	Acinetobacter	Aliterella	0.996269364243	11	20	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
4	Anaerotruncus	Acetivibrio	0.878995721172	1	27	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	14.0	0.0	#c4e88a	#8000ff
5	Acetivibrio	Anaerotruncus	0.878995721172	27	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	14.0	0.0	#c4e88a	#8000ff
6	Arthrobacter	Acinetobacter	0.996269364243	1	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
7	Acinetobacter	Arthrobacter	0.996269364243	11	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
8	Arthrobacter	Aliterella	1.0	1	20	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
9	Aliterella	Arthrobacter	1.0	20	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
10	Aureimonas	Arcanobacterium	0.969895294641	10	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	19.0	10.0	#ff6b37	#54f6cb
11	Arcanobacterium	Aureimonas	0.969895294641	11	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	19.0	10.0	#ff6b37	#54f6cb
12	Avibacterium	Actinobacillus	0.8274683482940001	13	22	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
13	Actinobacillus	Avibacterium	0.8274683482940001	22	13	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
14	Azohydromonas	Acinetobacter	0.996269364243	2	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
15	Acinetobacter	Azohydromonas	0.996269364243	11	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
16	Azohydromonas	Aliterella	1.0	2	20	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
17	Aliterella	Azohydromonas	1.0	20	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
18	Azohydromonas	Arthrobacter	1.0	2	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
19	Arthrobacter	Azohydromonas	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#2489f5	#5641fd
20	Basfia	Actinobacillus	0.989910959455	3	22	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
21	Actinobacillus	Basfia	0.989910959455	22	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
22	Basfia	Avibacterium	0.809039834956	3	13	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
23	Avibacterium	Basfia	0.809039834956	13	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
24	Bibersteinia	Actinobacillus	0.937409160126	1	22	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
25	Actinobacillus	Bibersteinia	0.937409160126	22	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
26	Bibersteinia	Basfia	0.946963109332	1	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
27	Basfia	Bibersteinia	0.946963109332	3	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	9.0	3.0	#50f4cc	#425ffa
28	Bradyrhizobium	Afipia	0.947204968944	2	36	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	5.0	6.0	#0ea5ef	#01b3ec
29	Afipia	Bradyrhizobium	0.947204968944	36	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	5.0	6.0	#0ea5ef	#01b3ec
30	Brevibacterium	Aerococcus	0.999889637745	3	24	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	15.0	5.0	#dbd87b	#169bf2
31	Aerococcus	Brevibacterium	0.999889637745	24	3	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	15.0	5.0	#dbd87b	#169bf2
32	Burkholderia	Aerococcus	0.999889637745	10	24	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	15.0	5.0	#dbd87b	#169bf2
33	Aerococcus	Burkholderia	0.999889637745	24	10	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	15.0	5.0	#dbd87b	#169bf2
34	Burkholderia	Brevibacterium	1.0	10	3	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	15.0	5.0	#dbd87b	#169bf2
35	Brevibacterium	Burkholderia	1.0	3	10	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	15.0	5.0	#dbd87b	#169bf2
36	Calothrix	Brevundimonas	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	0.0	12.0	#8000ff	#7effb5
37	Brevundimonas	Calothrix	1.0	2	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	0.0	12.0	#8000ff	#7effb5
