TAXA	Actinomyces johnsonii	Actinomyces sp. oral taxon 448	Actinomyces viscosus	Atopobium parvulum	Butyrivibrio crossotus	Capnocytophaga sputigena	Fusobacterium nucleatum	Haemophilus sp. C1	Lactobacillus crispatus	Leptotrichia sp. oral taxon 225	Leptotrichia wadei	Odoribacter splanchnicus	Paraprevotella clara	Porphyromonas gingivalis	Prevotella aurantiaca	Prevotella fusca	Prevotella maculosa	Prevotella oralis	Prevotella sp. F0091	Roseburia inulinivorans	Stomatobaculum longum	Streptococcus infantis	Streptococcus sp. CM6	Streptococcus sp. SR1	Streptococcus uberis	Treponema socranskii	Veillonella sp. HPA0037	Veillonella sp. oral taxon 780	Veillonella tobetsuensis
Actinomyces johnsonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces sp. oral taxon 448	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0
Actinomyces viscosus	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atopobium parvulum	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Butyrivibrio crossotus	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0
Capnocytophaga sputigena	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fusobacterium nucleatum	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Haemophilus sp. C1	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillus crispatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0
Leptotrichia sp. oral taxon 225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0
Leptotrichia wadei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Odoribacter splanchnicus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0
Paraprevotella clara	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0
Porphyromonas gingivalis	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0
Prevotella aurantiaca	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0
Prevotella fusca	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0
Prevotella maculosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002
Prevotella oralis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0
Prevotella sp. F0091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0
Roseburia inulinivorans	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0
Stomatobaculum longum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0
Streptococcus infantis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptococcus sp. CM6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptococcus sp. SR1	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0
Streptococcus uberis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Treponema socranskii	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0
Veillonella sp. HPA0037	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	0.0	1.0000000000000004	0.0
Veillonella sp. oral taxon 780	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0
Veillonella tobetsuensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
