source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Acholeplasma	0	Acholeplasma	Acetivibrio	0.184697587871	3	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8.0	1.0	#f2c26b	#2adddd
Acetivibrio	1	Acetivibrio	Acholeplasma	0.184697587871	13	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	11.0	1.0	#ff0000	#2adddd
Acidaminococcus	2	Acidaminococcus	Acetivibrio	0.149521479287	2	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8.0	1.0	#f2c26b	#2adddd
Acetivibrio	3	Acetivibrio	Acidaminococcus	0.149521479287	13	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	11.0	1.0	#ff0000	#2adddd
Acidaminococcus	4	Acidaminococcus	Acholeplasma	0.809547547485	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8.0	1.0	#f2c26b	#2adddd
Acholeplasma	5	Acholeplasma	Acidaminococcus	0.809547547485	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8.0	1.0	#f2c26b	#2adddd
Acinetobacter	6	Acinetobacter	Acidovorax	0.498056056186	23	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	2.0	2.0	#2489f5	#d4dd80
Acidovorax	7	Acidovorax	Acinetobacter	0.498056056186	11	23	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	2.0	#38e7d7	#d4dd80
Actinobacillus	8	Actinobacillus	Abiotrophia	0.022159020756	10	29	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	7.0	0.0	#c4e88a	#8000ff
Abiotrophia	9	Abiotrophia	Actinobacillus	0.022159020756	29	10	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	1.0	0.0	#5247fc	#8000ff
