source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Acholeplasma	0	Acholeplasma	Acetivibrio	0.184697587871	3	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Acetivibrio	1	Acetivibrio	Acholeplasma	0.184697587871	13	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Acidaminococcus	2	Acidaminococcus	Acetivibrio	0.149521479287	2	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Acetivibrio	3	Acetivibrio	Acidaminococcus	0.149521479287	13	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Acidaminococcus	4	Acidaminococcus	Acholeplasma	0.809547547485	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Acholeplasma	5	Acholeplasma	Acidaminococcus	0.809547547485	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Adlercreutzia	6	Adlercreutzia	Acetivibrio	0.61163533801	39	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Acetivibrio	7	Acetivibrio	Adlercreutzia	0.61163533801	13	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Adlercreutzia	8	Adlercreutzia	Acholeplasma	0.104433391891	39	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Acholeplasma	9	Acholeplasma	Adlercreutzia	0.104433391891	3	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Adlercreutzia	10	Adlercreutzia	Acidaminococcus	0.149008440945	39	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Acidaminococcus	11	Acidaminococcus	Adlercreutzia	0.149008440945	2	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Akkermansia	12	Akkermansia	Acholeplasma	0.221657131694	31	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	2.0	5.0	#7effb5	#ff0000
Acholeplasma	13	Acholeplasma	Akkermansia	0.221657131694	3	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	1.0	1.0	#01b3ec	#1996f3
Alicycliphilus	14	Alicycliphilus	Acidovorax	0.200912618068	21	11	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	61	2.0	0.0	#7effb5	#8000ff
Acidovorax	15	Acidovorax	Alicycliphilus	0.200912618068	11	1	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	61	0.0	2.0	#8000ff	#4df3ce
Aliterella	16	Aliterella	Acidovorax	0.47366491114299997	1	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	2.0	#8000ff	#4df3ce
