	source	target	weight	source_freq	target_freq	source_type	target_type	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Clostridium] bolteae	[Clostridium] asparagiforme	5.0	13	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
1	[Clostridium] asparagiforme	[Clostridium] bolteae	5.0	10	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
2	[Clostridium] clostridioforme	[Bacteroides] pectinophilus	4.0	16	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
3	[Bacteroides] pectinophilus	[Clostridium] clostridioforme	4.0	12	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
4	[Clostridium] clostridioforme	[Clostridium] asparagiforme	5.0	16	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
5	[Clostridium] asparagiforme	[Clostridium] clostridioforme	5.0	10	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
6	[Clostridium] leptum	[Clostridium] asparagiforme	2.0	17	10	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	1.0	2.0	#ff0000	#7effb5
7	[Clostridium] asparagiforme	[Clostridium] leptum	2.0	10	17	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	0.0	1.0	#8000ff	#01b3ec
8	[Clostridium] saccharogumia	[Clostridium] citroniae	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
9	[Clostridium] citroniae	[Clostridium] saccharogumia	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
10	[Clostridium] scindens	[Clostridium] aminophilum	1.0	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
11	[Clostridium] aminophilum	[Clostridium] scindens	1.0	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
12	[Clostridium] scindens	[Clostridium] citroniae	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
13	[Clostridium] citroniae	[Clostridium] scindens	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
14	[Clostridium] scindens	[Clostridium] innocuum	1.0	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
15	[Clostridium] innocuum	[Clostridium] scindens	1.0	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
16	[Clostridium] scindens	[Clostridium] methylpentosum	2.0	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
17	[Clostridium] methylpentosum	[Clostridium] scindens	2.0	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
18	[Clostridium] scindens	[Clostridium] saccharogumia	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
19	[Clostridium] saccharogumia	[Clostridium] scindens	1.0	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
20	[Clostridium] spiroforme	[Bacteroides] pectinophilus	4.0	9	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
21	[Bacteroides] pectinophilus	[Clostridium] spiroforme	4.0	12	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
22	[Clostridium] spiroforme	[Clostridium] bolteae	4.0	9	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
23	[Clostridium] bolteae	[Clostridium] spiroforme	4.0	13	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
24	[Clostridium] symbiosum	[Bacteroides] pectinophilus	4.0	10	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
25	[Bacteroides] pectinophilus	[Clostridium] symbiosum	4.0	12	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
26	[Clostridium] symbiosum	[Clostridium] bolteae	4.0	10	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
27	[Clostridium] bolteae	[Clostridium] symbiosum	4.0	13	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
28	[Clostridium] symbiosum	[Clostridium] citroniae	2.0	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
29	[Clostridium] citroniae	[Clostridium] symbiosum	2.0	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
30	[Clostridium] symbiosum	[Clostridium] scindens	2.0	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#01b3ec
31	[Clostridium] scindens	[Clostridium] symbiosum	2.0	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	1.0	#ff0000	#01b3ec
